country,countryLabel,coordinate_location
http://www.wikidata.org/entity/Q774,Guatemala,Point(-90.25 15.5)
http://www.wikidata.org/entity/Q778,The Bahamas,Point(-76.4 23.7)
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Point(-61.85 17.116666666)
http://www.wikidata.org/entity/Q783,Honduras,Point(-86.816667 14.633333)
http://www.wikidata.org/entity/Q784,Dominica,Point(-61.333333 15.416667)
http://www.wikidata.org/entity/Q786,Dominican Republic,Point(-70.2 18.8)
http://www.wikidata.org/entity/Q790,Haiti,Point(-72.8 19.0)
http://www.wikidata.org/entity/Q792,El Salvador,Point(-88.866111 13.668889)
http://www.wikidata.org/entity/Q794,Iran,Point(53.0 32.0)
http://www.wikidata.org/entity/Q796,Iraq,Point(43.0 33.0)
http://www.wikidata.org/entity/Q800,Costa Rica,Point(-84.0 10.0)
http://www.wikidata.org/entity/Q801,Israel,Point(35.0 31.0)
http://www.wikidata.org/entity/Q805,Yemen,Point(48.0 15.5)
http://www.wikidata.org/entity/Q810,Jordan,Point(36.5 31.2)
http://www.wikidata.org/entity/Q811,Nicaragua,Point(-85.0 13.0)
http://www.wikidata.org/entity/Q813,Kyrgyzstan,Point(75.0 41.0)
http://www.wikidata.org/entity/Q819,Laos,Point(104.0 18.2)
http://www.wikidata.org/entity/Q822,Lebanon,Point(35.766667 33.833333)
http://www.wikidata.org/entity/Q826,Maldives,Point(73.51 4.18)
http://www.wikidata.org/entity/Q833,Malaysia,Point(108.0 3.0)
http://www.wikidata.org/entity/Q836,Myanmar,Point(96.0 22.0)
http://www.wikidata.org/entity/Q837,Nepal,Point(84.0 28.0)
http://www.wikidata.org/entity/Q842,Oman,Point(57.0 21.0)
http://www.wikidata.org/entity/Q843,Pakistan,Point(71.0 30.0)
http://www.wikidata.org/entity/Q846,Qatar,Point(51.212767 25.269535)
http://www.wikidata.org/entity/Q851,Saudi Arabia,Point(44.116667 23.716667)
http://www.wikidata.org/entity/Q854,Sri Lanka,Point(81.0 7.0)
http://www.wikidata.org/entity/Q858,Syria,Point(38.583333 35.216667)
http://www.wikidata.org/entity/Q863,Tajikistan,Point(71.366667 38.583333)
http://www.wikidata.org/entity/Q865,Taiwan,Point(121.0 24.0)
http://www.wikidata.org/entity/Q869,Thailand,Point(101.0 14.0)
http://www.wikidata.org/entity/Q874,Turkmenistan,Point(60.0 39.0)
http://www.wikidata.org/entity/Q878,United Arab Emirates,Point(54.3 24.4)
http://www.wikidata.org/entity/Q881,Vietnam,Point(108.0 16.0)
http://www.wikidata.org/entity/Q884,South Korea,Point(128.0 36.0)
http://www.wikidata.org/entity/Q889,Afghanistan,Point(66.0 34.0)
http://www.wikidata.org/entity/Q902,Bangladesh,Point(89.866667 24.016667)
http://www.wikidata.org/entity/Q912,Mali,Point(-4.0 17.0)
http://www.wikidata.org/entity/Q916,Angola,Point(17.35 -12.35)
http://www.wikidata.org/entity/Q917,Bhutan,Point(90.5 27.45)
http://www.wikidata.org/entity/Q921,Brunei,Point(114.566667 4.4)
http://www.wikidata.org/entity/Q924,Tanzania,Point(34.854 -6.307)
http://www.wikidata.org/entity/Q928,Philippines,Point(123.0 12.0)
