college,collegeLabel,city,coordinate_location,country,countryLabel
http://www.wikidata.org/entity/Q330015,Denver International Airport,,Point(-104.673055555 39.861666666),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q332302,Kenneth Kaunda International Airport,,Point(28.4525 -15.330555555),http://www.wikidata.org/entity/Q953,Zambia
http://www.wikidata.org/entity/Q333137,Gagarin International Airport,,Point(46.171111111 51.712777777),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q338911,Nalchik Airport,,Point(43.638333333 43.513333333),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q349673,Norwich International Airport,,Point(1.28278 52.6758),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q369185,La Crosse Regional Airport,,Point(-91.256666666 43.879166666),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q370274,San Carlos de Bariloche Airport,,Point(-71.15777778 -41.15111111),http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q370924,Joensuu Airport,,Point(29.624444444 62.658888888),http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q371471,Vágar Airport,,Point(-7.2772 62.0636),http://www.wikidata.org/entity/Q4628,Faroe Islands
http://www.wikidata.org/entity/Q371500,Mohéli Bandar Es Eslam Airport,,Point(43.766388888 -12.298055555),http://www.wikidata.org/entity/Q970,Comoros
http://www.wikidata.org/entity/Q371955,Dawson Creek Airport,,Point(-120.183 55.7422),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q372280,Khabarovsk Novy Airport,,Point(135.16922 48.52417),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q374558,Taichung Airport,,Point(120.620833 24.265),http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q381428,Portimão Airport,,Point(-8.579722222 37.1475),http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q381643,Beira Airport,,Point(34.9075 -19.796388888),http://www.wikidata.org/entity/Q1029,Mozambique
http://www.wikidata.org/entity/Q381653,Viracopos International Airport,,Point(-47.134444444 -23.006944444),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q381668,Francisco Sarabia International Airport,,Point(-103.410555555 25.568055555),http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q381677,José Martí International Airport,,Point(-82.408888888 22.988888888),http://www.wikidata.org/entity/Q241,Cuba
http://www.wikidata.org/entity/Q381688,Matecaña International Airport,,Point(-75.739444444 4.8125),http://www.wikidata.org/entity/Q739,Colombia
http://www.wikidata.org/entity/Q382546,Mihail Kogălniceanu International Airport,,Point(28.488333333 44.362222222),http://www.wikidata.org/entity/Q218,Romania
http://www.wikidata.org/entity/Q384788,Ministro Pistarini International Airport,,Point(-58.53583333 -34.82222222),http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q385191,Hurghada International Airport,,Point(33.799167 27.178056),http://www.wikidata.org/entity/Q79,Egypt
http://www.wikidata.org/entity/Q385356,Sri Guru Ram Dass Jee International Airport,,Point(74.799166666 31.707777777),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q385406,São Paulo-Guarulhos International Airport,,Point(-46.473055555 -23.435555555),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q386864,Heydar Aliyev International Airport,,Point(50.046666666 40.4675),http://www.wikidata.org/entity/Q227,Azerbaijan
http://www.wikidata.org/entity/Q387048,Asahikawa Airport,,Point(142.4475 43.670833333),http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q387108,Whale Cove Airport,,Point(-92.598055555 62.24),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q387560,Chengdu Shuangliu International Airport,,Point(103.948333 30.58),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q387593,Bismarck Municipal Airport,,Point(-100.745833333 46.772777777),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q387628,Duqm Jaaluni Airport,,Point(57.63444444 19.50222222),http://www.wikidata.org/entity/Q842,Oman
http://www.wikidata.org/entity/Q387704,Recife/Guararapes–Gilberto Freyre International Airport,,Point(-34.922777777 -8.126388888),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q388535,Netaji Subhas Chandra Bose International Airport,,Point(88.446666666 22.653888888),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q388563,Northwest Arkansas Regional Airport,,Point(-94.307777777 36.281666666),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q389241,Bologna Guglielmo Marconi Airport,,Point(11.288666666 44.535444444),http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q389327,Pula Airport,,Point(13.922222222 44.893611111),http://www.wikidata.org/entity/Q224,Croatia
http://www.wikidata.org/entity/Q389802,General Servando Canales International Airport,,Point(-97.525311111 25.769894444),http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q392728,King Shaka International Airport,,Point(31.116388888 -29.614444444),http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q392784,Moi International Airport,,Point(39.594167 -4.034722),http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q392790,Mwanza Airport,,Point(32.9325 -2.444444444),http://www.wikidata.org/entity/Q924,Tanzania
http://www.wikidata.org/entity/Q401700,Sardar Vallabhbhai Patel International Airport,,Point(72.634722222 23.077222222),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q403671,Lisbon Airport,,Point(-9.134167 38.774167),http://www.wikidata.org/entity/Q45,Portugal
http://www.wikidata.org/entity/Q420847,Libreville International Airport,,Point(9.412222 0.458611),http://www.wikidata.org/entity/Q1000,Gabon
http://www.wikidata.org/entity/Q421811,Shanghai Hongqiao International Airport,,Point(121.336389 31.198056),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q426795,Akwa Ibom Airport,,Point(8.09888889 4.87583333),http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q427206,Kangiqsujuaq Airport,,Point(-71.9294 61.5886),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q428081,Fort Nelson Airport,,Point(-122.596944444 58.836388888),http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q428292,Murcia-San Javier Airport,,Point(-0.812222222 37.774722222),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q429304,Marrakesh Menara Airport,,Point(-8.040833333 31.608611111),http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q429446,Oslo Rygge,,Point(10.785555555 59.378888888),http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q430333,Guerrero Negro Airport,,Point(-114.023888888 28.025833333),http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q558204,Abakan International Airport,,Point(91.385861111 53.743277777),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q559107,Nanjing Lukou International Airport,,Point(118.861944444 31.742222222),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q559454,Zahedan Airport,,Point(60.906188888 29.475686111),http://www.wikidata.org/entity/Q794,Iran
http://www.wikidata.org/entity/Q567426,Emden Airport,,Point(7.2275 53.391111111),http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q570873,Damascus International Airport,,Point(36.515558333 33.411522222),http://www.wikidata.org/entity/Q858,Syria
http://www.wikidata.org/entity/Q571536,Tampa International Airport,,Point(-82.534845 27.9798184),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q571612,El Tari Airport,,Point(123.671111111 -10.171388888),http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q572387,Jaipur International Airport,,Point(75.812222222 26.824166666),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q573547,Calicut International Airport,,Point(75.955 11.136111111),http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q576468,Qianjiang Wulingshan Airport,,Point(108.829166666 29.5175),http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q576956,Bilwi Airport,,Point(-83.387703 14.046208),http://www.wikidata.org/entity/Q811,Nicaragua
http://www.wikidata.org/entity/Q577067,Vladivostok International Airport,,Point(132.151388888 43.399166666),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q577790,Lihir Island Airport,,Point(152.6279 -3.0424),http://www.wikidata.org/entity/Q691,Papua New Guinea
http://www.wikidata.org/entity/Q580409,Bournemouth Airport,,Point(-1.8425 50.78),http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q580554,Norrköping Airport,,Point(16.231667 58.586111),http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q581545,John Paul II International Airport Kraków-Balice,,Point(19.784722222 50.077777777),http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q581683,Capitán FAP Renán Elías Olivera Airport,,Point(-76.220277777 -13.745),http://www.wikidata.org/entity/Q419,Peru
http://www.wikidata.org/entity/Q581901,La Florida Airport,,Point(-71.19944444 -29.91611111),http://www.wikidata.org/entity/Q298,Chile
http://www.wikidata.org/entity/Q582306,Zonguldak Airport,,Point(32.0886 41.5064),http://www.wikidata.org/entity/Q43,Turkey
http://www.wikidata.org/entity/Q582746,Bodaybo Airport,,Point(114.2425 57.866388888),http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q583424,Hermanos Serdán International Airport,,Point(-98.371388888 19.158055555),http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q583453,Ajaccio Napoleon Bonaparte Airport,,Point(8.8025 41.923888888),http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q583587,"Bocas del Toro ""Isla Colón"" International Airport",,Point(-82.250833333 9.340833333),http://www.wikidata.org/entity/Q804,Panama
http://www.wikidata.org/entity/Q584102,Shannon Airport,,Point(-8.924722222 52.701944444),http://www.wikidata.org/entity/Q27,Ireland
http://www.wikidata.org/entity/Q584491,Esquel Airport,,Point(-71.13554 -42.90381),http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q586065,Entebbe International Airport,,Point(32.443055555 0.044722222),http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q586862,Jerez Airport,,Point(-6.06 36.744722222),http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q587560,Ranong Airport,,Point(98.585277777 9.7775),http://www.wikidata.org/entity/Q869,Thailand
http://www.wikidata.org/entity/Q587675,Monseñor Óscar Arnulfo Romero International Airport,,Point(-89.055727777 13.440947222),http://www.wikidata.org/entity/Q792,El Salvador
http://www.wikidata.org/entity/Q587801,Marechal Cunha Machado International Airport,,Point(-44.236111111 -2.586944444),http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q588038,Ilopango International Airport,,Point(-89.125555555 13.691666666),http://www.wikidata.org/entity/Q792,El Salvador
http://www.wikidata.org/entity/Q591971,Bangor International Airport,,Point(-68.828055555 44.807222222),http://www.wikidata.org/entity/Q30,United States of America
http://www.wikidata.org/entity/Q591998,Waskaganish Airport,,Point(-78.758333333 51.473333333),http://www.wikidata.org/entity/Q16,Canada
