college,collegeLabel,city,coordinate_location,country,countryLabel,
http://www.wikidata.org/entity/Q1544811,Greenvale Reservoir,,Point(144.905 -37.6316),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1553457,Guide Reservoir,,Point(145.7617 -41.23502),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1573337,Lake Eucumbene,,Point(148.6 -36.116666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1609461,Lake Moondarra,,Point(139.57 -20.5826),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1642390,Lake Burley Griffin,,Point(149.113888888 -35.293333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1672003,Maroondah Reservoir,,Point(145.563055555 -37.634722222),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q17011248,Liverpool Offtake Reservoir,,Point(150.82679 -33.889869),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1780129,Lake Hume,,Point(147.031111111 -36.108333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1790845,Lake Rosebery,,Point(145.583 -41.7333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800856,Lake Ballingall,,Point(116.14119 -33.21271),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800872,Lake Boondooma,,Point(151.435 -26.0963),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800934,Lake Ginninderra,,Point(149.066666666 -35.233333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800982,Lake Leake,,Point(147.8 -42.0167),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1800995,Lake Margaret,,Point(145.533 -42.0),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801016,Lake Murchison,,Point(145.69326 -41.83428),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801040,Lake Pieman,,Point(145.25 -41.783333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1801083,Lake Somerset,,Point(152.557 -27.1144),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q18166831,Warren Reservoir,,Point(138.925 -34.7022),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q18344849,Lake Huntsman,,Point(146.607 -41.696),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1887729,Malpas Reservoir,,Point(151.73998839 -30.27524256),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1946715,Moondarra Reservoir,,Point(146.3826 -38.08537),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q1956725,Myponga Reservoir,,Point(138.442 -35.395),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q2043409,O'Shannassy Reservoir,,Point(145.806 -37.675),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q2073139,Pet Reservoir,,Point(145.83 -41.15),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21153545,Bickley Brook Reservoir,,Point(116.037049362 -32.029677186),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q2160716,Rocklands Reservoir,,Point(142.073611111 -37.270277777),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21880936,Wirrigenda Reservoir,,Point(136.316666666 -32.833333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881176,Yabmana Reservoir,,Point(136.683333333 -33.65),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881196,Yalanda Reservoir,,Point(136.70765 -33.27808),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881307,Yartoo Reservoir,,Point(135.433333333 -32.433333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881330,Yeldulknie Reservoir,,Point(136.54669 -33.69071),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881400,Yorke Valley Reservoir,,Point(137.666666666 -34.433333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21881440,Yumburra Reservoir,,Point(135.383333333 -32.95),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21882361,Warren Reservoir,,Point(138.916666666 -34.716666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21882723,Whyalla Reservoir,,Point(137.583333333 -33.016666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21882748,Wild Dog Hill Reservoir,,Point(136.533333333 -33.166666666),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883214,Tcharkuldu Reservoir,,Point(135.2 -32.85),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883226,Teatree Reservoir,,Point(135.6899 -34.09797),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883285,Terre Reservoir,,Point(135.69658 -33.5937),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883327,Thomas Reservoir,,Point(130.766666666 -23.833333333),http://www.wikidata.org/entity/Q408,Australia,au
http://www.wikidata.org/entity/Q21883342,Thorndon Park Reservoir,,Point(138.68737 -34.87459),http://www.wikidata.org/entity/Q408,Australia,au
