college,collegeLabel,city,coordinate_location,country,countryLabel,country1,country_id
http://www.wikidata.org/entity/Q1029749,Marianna Municipal Airport,,Point(-85.181944444 30.837777777),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1029760,Marine Corps Air Station Kaneohe Bay,,Point(-157.769722 21.445833),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1029871,Camp Mackall,,Point(-79.4975 35.036388888),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1029924,Marco Fidel Suárez Air Base,,Point(-76.49666667 3.458888889),http://www.wikidata.org/entity/Q739,Colombia,Colombia,co
http://www.wikidata.org/entity/Q1029948,Marina Municipal Airport,,Point(-121.761666666 36.681388888),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1029984,Mara Serena Airport,,Point(35.008056 -1.406111),http://www.wikidata.org/entity/Q114,Kenya,Kenya,ke
http://www.wikidata.org/entity/Q1030032,Ganja International Airport,,Point(46.3175 40.737777777),http://www.wikidata.org/entity/Q227,Azerbaijan,Azərbaycan,az
http://www.wikidata.org/entity/Q1030285,Mardin Airport,,Point(40.631666666 37.223336111),http://www.wikidata.org/entity/Q43,Turkey,Türkiye,tr
http://www.wikidata.org/entity/Q1030389,Iwakuni Air Base,,Point(132.244166666 34.145),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q1030420,Qabala Airport,,Point(47.7125 40.82666667),http://www.wikidata.org/entity/Q227,Azerbaijan,Azərbaycan,az
http://www.wikidata.org/entity/Q1030428,María Montez International Airport,,Point(-71.121945 18.251667),http://www.wikidata.org/entity/Q786,Dominican Republic,República Dominicana,do
http://www.wikidata.org/entity/Q1030536,Marie Louise Island Airport,,Point(53.14641111 -6.180375),http://www.wikidata.org/entity/Q1042,Seychelles,Sesel,sc
http://www.wikidata.org/entity/Q1030546,Maota Airport,,Point(-172.258333333 -13.742222222),http://www.wikidata.org/entity/Q683,Samoa,Sāmoa,ws
http://www.wikidata.org/entity/Q1030564,Manuel Márquez de León International Airport,,Point(-110.362542 24.072747),http://www.wikidata.org/entity/Q96,Mexico,México,mx
http://www.wikidata.org/entity/Q1030569,Marie-Galante Airport,,Point(-61.27222222 15.86861111),http://www.wikidata.org/entity/Q142,France,France,fr
http://www.wikidata.org/entity/Q1030578,Margaret Ekpo International Airport,,Point(8.346944444 4.975833333),http://www.wikidata.org/entity/Q1033,Nigeria,Nigeria,ng
http://www.wikidata.org/entity/Q1030646,Campbeltown Airport,,Point(-5.686388888 55.437222222),http://www.wikidata.org/entity/Q145,United Kingdom,United Kingdom,gb
http://www.wikidata.org/entity/Q1030705,Maridi Airport,,Point(29.443333333 4.902777777),http://www.wikidata.org/entity/Q958,South Sudan,South Sudan,ss
http://www.wikidata.org/entity/Q1030716,Marau Airport,,Point(160.825 -9.861666666),http://www.wikidata.org/entity/Q685,Solomon Islands,Solomon Islands,sb
http://www.wikidata.org/entity/Q1030725,Maribor Edvard Rusjan Airport,,Point(15.686111111 46.48),http://www.wikidata.org/entity/Q215,Slovenia,Slovenija,si
http://www.wikidata.org/entity/Q1030731,Marine Corps Outlying Field Camp Davis,,Point(-77.55 34.516666666),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1030738,Marine Corps Air Station New River,,Point(-77.445277777 34.707222222),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1030782,Marine Corps Air Station Santa Barbara,,Point(-119.840277777 34.426111111),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1030792,Maricá Airport,,Point(-42.82889 -22.91806),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q1030802,Maple Lake Municipal Airport,,Point(-93.985555555 45.236111111),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1030846,Marble Canyon Airport,,Point(-111.644 36.8113),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1030854,Marinduque Airport,,Point(121.825255555 13.360027777),http://www.wikidata.org/entity/Q928,Philippines,Mindanao,ph
http://www.wikidata.org/entity/Q1030889,Maringá Regional Airport,,Point(-52.01222 -23.47944),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q1030902,Marília Airport,,Point(-49.92694444 -22.19555556),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q1030915,Maquehue Airport,,Point(-72.637222222 -38.766944444),http://www.wikidata.org/entity/Q298,Chile,Chile,cl
http://www.wikidata.org/entity/Q1030919,Marechal Rondon International Airport,,Point(-56.1175 -15.65),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q1031006,Maple Creek Airport,,Point(-109.476 49.8964),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031022,Marek Farms Airport,,Point(-112.778 53.0314),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031032,Margaree Airport,,Point(-60.9797 46.3411),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031046,Marathon Aerodrome,,Point(-86.345833333 48.757222222),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031195,Marco Island Airport,,Point(-81.6725 25.995),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1031208,Mareeba Airfield,,Point(145.419166666 -17.069166666),http://www.wikidata.org/entity/Q408,Australia,Australia,au
http://www.wikidata.org/entity/Q1031234,Marcy Field,,Point(-73.7878 44.2208),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1031288,Maple Airport,,Point(-79.5269 43.8433),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031367,Marden Airfield,,Point(0.516667 51.1667),http://www.wikidata.org/entity/Q145,United Kingdom,United Kingdom,gb
http://www.wikidata.org/entity/Q1031400,Maria Reiche Neuman Airport,,Point(-74.961811111 -14.854191666),http://www.wikidata.org/entity/Q419,Peru,Perú,pe
http://www.wikidata.org/entity/Q1031433,Mao Airport,,Point(15.3144 14.1456),http://www.wikidata.org/entity/Q657,Chad,Tchad تشاد,td
http://www.wikidata.org/entity/Q1031434,Mariana Grajales Airport,,Point(-75.158333 20.085278),http://www.wikidata.org/entity/Q241,Cuba,Cuba,cu
http://www.wikidata.org/entity/Q1031474,Margate Airport,,Point(30.343055555 -30.859444444),http://www.wikidata.org/entity/Q258,South Africa,South Africa,za
http://www.wikidata.org/entity/Q1031517,Maria Cristina Airport,,Point(124.214894444 8.130525),http://www.wikidata.org/entity/Q928,Philippines,Mindanao,ph
http://www.wikidata.org/entity/Q1031540,Margaret Lake Airport,,Point(-115.25 58.95),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1031590,Mariehamn Airport,,Point(19.896388888 60.121944444),http://www.wikidata.org/entity/Q33,Finland,Suomi / Finland,fi
http://www.wikidata.org/entity/Q1031812,Wau Airport,,Point(27.97500038 7.72583008),http://www.wikidata.org/entity/Q958,South Sudan,South Sudan,ss
http://www.wikidata.org/entity/Q1031829,March Air Reserve Base,,Point(-117.27611 33.89861),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1031865,Mar de Cortés International Airport,,Point(-113.305611111 31.352),http://www.wikidata.org/entity/Q96,Mexico,México,mx
http://www.wikidata.org/entity/Q1032113,CFB Bagotville,,Point(-70.9969 48.3306),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1032134,CFB Shearwater,,Point(-63.5022 44.6372),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q1032227,Santa Maria Airport,,Point(-37.07333 -10.98528),http://www.wikidata.org/entity/Q155,Brazil,Brasil,br
http://www.wikidata.org/entity/Q1032934,Halim Perdanakusuma Airport,,Point(106.891111111 -6.266388888),http://www.wikidata.org/entity/Q252,Indonesia,Indonesia,id
http://www.wikidata.org/entity/Q1033097,Canefield Airport,,Point(-61.392222222 15.336666666),http://www.wikidata.org/entity/Q784,Dominica,Dominica,dm
http://www.wikidata.org/entity/Q1034428,Cape Girardeau Regional Airport,,Point(-89.570833333 37.225277777),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1035011,Christmas Island Airport,,Point(105.690277777 -10.450555555),http://www.wikidata.org/entity/Q408,Australia,Australia,au
http://www.wikidata.org/entity/Q1038664,Iki Airport,,Point(129.785833333 33.749166666),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q104093009,Godos Aerodrome,,Point(-8.697145764 42.578220972),http://www.wikidata.org/entity/Q29,Spain,España,es
http://www.wikidata.org/entity/Q10418979,Arvika Airport,,Point(12.63888889 59.67361111),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10431979,Boden Heliport,,Point(21.69138889 65.81027778),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1043277,Tenzing-Hillary Airport,,Point(86.731388888 27.6875),http://www.wikidata.org/entity/Q837,Nepal,नेपाल,np
http://www.wikidata.org/entity/Q10433395,Borås Airport,,Point(12.845 57.695555),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10434726,Brandholmen Airport,,Point(17.04694444 58.74527778),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1043631,Murtala Muhammed International Airport,,Point(3.321111111 6.577222222),http://www.wikidata.org/entity/Q1033,Nigeria,Nigeria,ng
http://www.wikidata.org/entity/Q10438216,Byholma Airbase,,Point(13.60138889 56.78333333),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q104665454,Q104665454,,Point(14.9992556 49.4183008),http://www.wikidata.org/entity/Q213,Czech Republic,Česko,cz
http://www.wikidata.org/entity/Q1046748,Osaka International Airport,,Point(135.438222222 34.785527777),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q1046755,Don Mueang International Airport,,Point(100.606666666 13.9125),http://www.wikidata.org/entity/Q869,Thailand,ประเทศไทย,th
http://www.wikidata.org/entity/Q104811623,Kamoike Airport,,Point(130.554444444 31.555833333),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q1048131,Casper–Natrona County International Airport,,Point(-106.464444444 42.908055555),http://www.wikidata.org/entity/Q30,United States of America,United States,us
http://www.wikidata.org/entity/Q1048704,Mactan–Cebu International Airport,,Point(123.983333333 10.316666666),http://www.wikidata.org/entity/Q928,Philippines,Mindanao,ph
http://www.wikidata.org/entity/Q104918311,Fuzuli International Airport,,Point(47.1966 39.5944),http://www.wikidata.org/entity/Q227,Azerbaijan,Azərbaycan,az
http://www.wikidata.org/entity/Q1049288,Wilson Airport,,Point(36.814833333 -1.321719444),http://www.wikidata.org/entity/Q114,Kenya,Kenya,ke
http://www.wikidata.org/entity/Q1049719,Faa'a International Airport,,Point(-149.611388888 -17.556666666),http://www.wikidata.org/entity/Q142,France,France,fr
http://www.wikidata.org/entity/Q1049856,Rishiri Airport,,Point(141.1875 45.241944444),http://www.wikidata.org/entity/Q17,Japan,日本,jp
http://www.wikidata.org/entity/Q10500698,Fällfors Airbase,,Point(20.76111111 65.1075),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1050244,Khartoum International Airport,,Point(32.553161111 15.589497222),http://www.wikidata.org/entity/Q1049,Sudan,السودان,sd
http://www.wikidata.org/entity/Q105041012,Bayelsa International Airport,,Point(6.204722 4.958333),http://www.wikidata.org/entity/Q1033,Nigeria,Nigeria,ng
http://www.wikidata.org/entity/Q1050707,Paphos International Airport,,Point(32.485 34.718333333),http://www.wikidata.org/entity/Q229,Cyprus,Κύπρος - Kıbrıs,cy
http://www.wikidata.org/entity/Q105178478,Jingzhou Shashi Airport,,Point(112.45 30.283333),http://www.wikidata.org/entity/Q148,People's Republic of China,中国,cn
http://www.wikidata.org/entity/Q10518493,Hasslösa Airbase,,Point(13.263055 58.409722),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q10519176,Hedlanda Airport,,Point(13.74472222 62.41055556),http://www.wikidata.org/entity/Q34,Sweden,Sverige,se
http://www.wikidata.org/entity/Q1052673,Windsor International Airport,,Point(-82.955277777 42.276111111),http://www.wikidata.org/entity/Q16,Canada,Canada,ca
http://www.wikidata.org/entity/Q105325432,Plzeň-Bory Airport,,Point(13.3375 49.726367),http://www.wikidata.org/entity/Q213,Czech Republic,Česko,cz
